Time (s),Speed (km/h),Normalized current (A)
460,54.073958399999995,0.2772039430412965
461,56.0051712,0.48126276451546834
462,56.4879744,0.19332453217171836
463,57.2926464,0.26311265961179237
464,58.097318400000006,0.267456898313748
465,57.936384000000004,0.06425377759125689
466,58.097318400000006,0.13243064567765184
467,58.2582528,0.13291504592121595
468,57.936384000000004,0.030298613263330505
469,57.4535808,-0.0015750475155003878
470,57.936384000000004,0.1992889161721481
471,57.936384000000004,0.09808309204519758
472,57.2926464,-0.024947504356716766
473,57.131712,0.06269661815804713
474,56.9707776,0.06239400564725759
475,56.6489088,0.02862889900307004
476,56.6489088,0.09489191158864056
477,56.6489088,0.09488945988195309
478,56.6489088,0.09488727520262305
479,56.6489088,0.09488533212830233
480,56.6489088,0.09488360765924174
481,56.327040000000004,0.028222088502410005
482,56.4879744,0.12742276130948668
483,56.6489088,0.12790723051390004
484,57.131712,0.1957925258181138
485,56.6489088,-0.001958767595900756
486,56.327040000000004,0.02822054112536978
487,56.327040000000004,0.09409535844146348
488,56.327040000000004,0.09409503334198414
489,56.0051712,0.027821757075239425
490,55.6833024,0.027427768614049386
491,55.522368,0.059731378987833525
492,53.913024,-0.15767795788161942
493,51.499008,-0.25887880366033283
494,48.441254400000005,-0.3268212610640274
495,45.061632,-0.34438530805698925
496,41.038272000000006,-0.38723241364088445
497,36.210240000000006,-0.42580574576115693
498,31.8650112,-0.33503589496142233
499,26.554176,-0.3582794193587322
500,21.243340800000002,-0.29327262561406475
501,16.576243200000004,-0.20133265706846312
502,11.587276800000001,-0.16059652497117108
503,6.437376,-0.10518654429814135
504,1.609344,-0.04157951330488562
505,0.0,0.0013674225797386357
506,0.0,0.003963575349182239
507,0.0,0.00396384026713311
508,0.0,0.003964080069859458
509,0.0,0.003964297141836709
510,0.0,0.003964493641621195
511,1.9312127999999997,0.010757577495484075
512,5.632704,0.05951583195027908
513,8.851392,0.0976719236833826
514,10.460736,0.07227107943279644
515,13.679424000000001,0.1604106281337229
516,15.449702399999998,0.11582184300096092
517,16.898112,0.10929024057728097
518,19.1511936,0.17452548004966262
519,22.530816,0.28757399578547
520,25.749504,0.31886331537444385
521,28.4853888,0.310332974551729
522,30.577536000000002,0.26847860481116026
523,32.347814400000004,0.24918554657442712
524,33.796224,0.2232039095522681
525,35.405568,0.2542380481723569
526,37.014912,0.26645108147752955
527,38.3023872,0.23307069906635847
528,39.428928,0.21798109417964545
529,40.0726656,0.15298416962739275
530,40.2336,0.08383464618910416
531,40.2336,0.060399314228378576
532,40.2336,0.06039648323538138
533,40.2336,0.06039393543898446
534,40.2336,0.06039164385336265
535,40.2336,0.060389580598111364
536,41.1992064,0.20491664026779619
537,41.521075200000006,0.11103761487059861
538,41.842944,0.11201259407318102
539,41.1992064,-0.022710409021876505
540,40.55546880000001,-0.022486792359837433
541,40.2336,0.013291689238657667
542,40.2336,0.06037912632044416
543,40.2336,0.06037835192264273
544,39.2679936,-0.054252532022868886
545,37.175846400000005,-0.16051551610254458
546,31.8650112,-0.42310965308912246
547,26.554176,-0.3585504322687481
548,21.243340800000002,-0.29347655111291726
549,15.9325056,-0.22795261709933637
550,10.621670400000001,-0.16204422734617932
551,5.3108352000000005,-0.09581845997027763
552,0.0,-0.029343808125768273
553,0.0,0.003965138139575366
554,0.0,0.003965294547723347
555,0.0,0.0039654361413376474
556,0.0,0.003965564328254376
557,0.0,0.003965680382708691
558,0.0,0.003965785457928176
559,0.0,0.003965880597671048
560,0.0,0.003965966746528131
561,0.0,0.003966044759381934
562,0.0,0.003966115409873003
563,0.0,0.003966179398135759
564,0.0,0.003966237357766378
565,0.0,0.003966289862135095
566,0.0,0.003966337430105349
567,0.0,0.003966380531222238
568,0.0,0.003966419590370257
569,5.3108352000000005,0.05539039866893245
570,10.621670400000001,0.1680366125391599
571,15.9325056,0.2779725447159247
572,20.921472,0.36333901262081675
573,23.4964224,0.24095874249611843
574,25.749504,0.23810936944954186
575,27.358848000000002,0.1942444944704858
576,27.358848000000002,0.03929982830773201
577,27.358848000000002,0.03929856905163409
578,28.163520000000002,0.12143088537314105
579,28.4853888,0.07399471555262732
580,28.4853888,0.04098065555327823
581,28.163520000000002,0.007511526504370417
582,27.358848000000002,-0.027454804782842186
583,27.197913599999996,0.02317241914613245
584,26.715110400000004,-0.004805899962420778
585,27.358848000000002,0.10231587071867938
586,27.5197824,0.05551297723556045
587,27.358848000000002,0.023315635211443086
588,26.715110400000004,-0.015776245749737336
589,26.554176,0.022599386348724958
590,26.554176,0.03810332535367111
591,26.715110400000004,0.053849573628287545
592,27.358848000000002,0.10231091791309867
593,28.3244544,0.13813654462752978
594,29.772864,0.19551883382933544
595,30.899404799999996,0.168602324429069
596,32.5087488,0.23242866830404135
597,33.796224,0.20421768218187483
598,33.957158400000004,0.06932802473052246
599,34.1180928,0.06968478607520766
600,34.7618304,0.13129536056719548
601,35.405568,0.13387985767003036
602,36.0493056,0.1364756556193771
603,36.210240000000006,0.07440333547065706
604,36.210240000000006,0.05332851041678202
605,36.210240000000006,0.053327229460781424
606,36.532108799999996,0.09631340825565775
607,38.1414528,0.2750010923146963
608,40.3945344,0.3826861801594121
609,41.842944,0.2798797018164994
610,42.647616,0.18833041510391135
611,43.452288,0.1922286256456722
612,42.003878400000005,-0.10955288365181422
613,36.693043200000005,-0.48143729933588697
614,31.382208000000002,-0.4173745205692055
615,26.0713728,-0.35274381638019314
616,20.760537600000003,-0.28760661977934143
617,15.449702399999998,-0.2220268957513536
618,10.138867200000002,-0.1560701893017718
