,Time (s),Speed (km/h),Normalized current (A)
136,136,4.3452288,0.015739666176224482
137,137,14.8059648,0.15677381467057516
138,138,25.9104384,0.3536367896959189
139,139,36.532108799999996,0.5224626287095208
140,140,46.9928448,0.6937911493619483
141,141,55.0395648,0.661017618643298
142,142,62.4425472,0.7071529684742074
143,143,69.201792,0.7314117345889202
144,144,72.9032832,0.4555821063505034
145,145,75.31729920000001,0.330684430244898
146,146,77.248512,0.28551874348778405
147,147,79.662528,0.35296466321598147
148,148,80.9500032,0.22462336246409725
149,149,82.881216,0.31054576088123664
150,150,84.00775680000001,0.21526017897051758
151,151,84.6514944,0.15650944418622792
152,152,85.295232,0.1581621609325498
153,153,86.5827072,0.2445332561860409
154,154,86.5827072,0.07833425327128724
155,155,86.5827072,0.07831780677667925
156,156,87.8701824,0.2491247114448327
157,157,90.6060672,0.4543146168233849
158,158,91.5716736,0.21903372777752722
159,159,93.5028864,0.35998723481888995
160,160,93.9856896,0.15931970092045397
161,161,95.9169024,0.37174385097948626
162,162,96.3997056,0.16573457137790043
163,163,96.88250880000001,0.167020189425186
164,164,97.365312,0.1683148964499209
165,165,96.0778368,-0.06147027755805859
166,166,93.82475520000001,-0.1556290998678395
167,167,93.5028864,0.04556171866955482
168,168,93.0200832,0.02251826001903141
169,169,92.2154112,-0.015237443408675444
170,170,92.53728,0.13312116623752443
171,171,91.0888704,-0.07647180763805028
172,172,91.73260800000001,0.17523527341842912
173,173,91.0888704,-0.0005572240243365469
174,174,90.927936,0.0638937766197574
175,175,90.4451328,0.01967840027202679
176,176,90.76700160000001,0.128994618575948
177,177,91.0888704,0.12973457092676108
178,178,90.76700160000001,0.041835737338912715
179,179,90.28419840000001,0.019507065532893372
180,180,90.123264,0.06264117184370395
181,181,89.9623296,0.062393827790184604
182,182,88.19205120000001,-0.1051465315827253
183,183,87.22644480000001,-0.03168925832707476
184,184,87.8701824,0.16457831162867526
185,185,84.00775680000001,-0.2865065736521589
186,186,88.0311168,0.605081206448164
187,187,89.6404608,0.298146269546429
188,188,91.73260800000001,0.37289165462677115
189,189,93.341952,0.31409785215619945
190,190,93.5028864,0.11297873170967206
191,191,95.5950336,0.39270142038514666
192,192,96.3997056,0.21190902995534786
193,193,98.169984,0.3590646144659948
194,194,98.81372160000001,0.19598279571933402
195,195,99.6183936,0.22236994554648667
196,196,100.584,0.24975235145892544
197,197,100.584,0.10460181543919549
198,198,100.90586880000001,0.15381372131731866
199,199,100.1011968,-0.011145373577240872
200,200,100.584,0.1771286680083027
201,201,101.5496064,0.25313488257703026
202,202,100.90586880000001,0.00815049778385804
203,203,101.0668032,0.12987640650002652
204,204,101.388672,0.15501303200819286
205,205,103.15895039999998,0.383004528786213
206,206,102.8370816,0.059894090703791765
207,207,103.15895039999998,0.15969772645631647
208,208,103.48081920000001,0.16055638932414312
209,209,103.802688,0.1614188286388457
210,210,104.44642560000001,0.2134201284894492
211,211,105.09016319999999,0.21549773060514352
212,212,106.216704,0.29588818912689724
213,213,106.216704,0.11690248680312516
214,214,106.86044160000002,0.2212771765078721
215,215,103.15895039999998,-0.319545172984977
216,216,102.3542784,-0.009723707310680405
217,217,102.8370816,0.18349682157423008
218,218,103.15895039999998,0.1596371481272583
219,219,102.5152128,0.010019614522951829
220,220,103.48081920000001,0.26002200968491357
221,221,103.3198848,0.08553260888868183
222,222,102.8370816,0.0351351634864546
